source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_5	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_5	1	24	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_5.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_5	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_5	1	25	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_5.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_750ms_50x200c_3	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_750ms_50x200c_3	1	26	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_750ms_50x200c_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_750ms_50x200c_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_750ms_50x200c_3.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_4	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_4	1	27	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_4.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_3	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_3	1	28	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_3.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c_2	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c_2	1	29	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c_2.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_4	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_4	1	30	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_4.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_9	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_9	1	31	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_9.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c	1	32	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x200c.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_9	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_9	1	33	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_9.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x200c_3	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x200c_3	1	34	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x200c_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x200c_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x200c_3.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c_2	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c_2	1	35	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c_2.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c	1	36	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_RETICLE_turbo23ms_500ms_50x100c.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x100c	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x100c	1	37	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x100c	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x100c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS3_rapid_750ms_50x100c.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2	1	38	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_11	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_11	1	39	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_11.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_3	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_3	1	40	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_3.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x100c_3	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x100c_3	1	41	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x100c_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x100c_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_500ms_50x100c_3.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_11	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_11	1	42	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_11.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_9	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_9	1	43	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_9.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_750ms_50x100c_2	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_750ms_50x100c_2	1	44	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_750ms_50x100c_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_750ms_50x100c_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210316_HB_BF_U3000_uPAC_50cm_precol_114min_TMTpro2_150nlmin_2CV_scMS_MS2_750ms_50x100c_2.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_8	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_8	1	45	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_8.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2	1	46	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4	Homo sapiens	Cell culture	Acute leukemia	Blood cell	cell	single cell	FACS	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4	1	47	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD029320/20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
